area sembrada,area cosechada,produccion,cultivo,PERIODO,rendimiento,municipio,prediccion
45,45,63,ARVEJA,2018A,1.4,SOCOTA,1.37
40,40,26,ARVEJA,2018A,0.65,COMBITA,0.684833333
30,30,20,ARVEJA,2018A,0.65,RONDON,0.7
25,25,13,ARVEJA,2018A,0.51,TENZA,0.5
25,25,29,ARVEJA,2018A,1.17,TUTA,1.185
22,22,20,ARVEJA,2018A,0.89,BELEN,0.858333333
20,20,9,ARVEJA,2018A,0.47,LABRANZAGRANDE,0.449821429
18,18,12,ARVEJA,2018A,0.65,MONGUA,0.75
18,18,17,ARVEJA,2018A,0.93,SOTAQUIRA,0.916666667
15,15,7,ARVEJA,2018A,0.47,CHISCAS,0.47
12,12,11,ARVEJA,2018A,0.93,SUSACON,0.96875
11,11,10,ARVEJA,2018A,0.87,MACANAL,0.775
10,10,14,ARVEJA,2018A,1.4,GAMEZA,1.351666667
8,8,4,ARVEJA,2018A,0.47,CHIVOR,0.502727273
5,5,5,ARVEJA,2018A,0.96,SAN MATEO,1
5,5,2,ARVEJA,2018A,0.47,SOCHA,0.464166667
4,4,4,ARVEJA,2018A,0.9,BETEITIVA,1.06075
3,3,3,ARVEJA,2018A,0.84,GARAGOA,0.965
700,700,840,FRIJOL,2006B,1.2,CHIQUINQUIRA,1.6055
250,120,120,FRIJOL,2006B,1,COVARACHIA,0.727222222
40,40,55,FRIJOL,2006B,1.38,GARAGOA,1.3
30,30,45,FRIJOL,2006B,1.5,ALMEIDA,1.492857143
23,20,12,FRIJOL,2006B,0.6,BERBEO,0.6875
23,23,37,FRIJOL,2006B,1.6,SOMONDOCO,1.540833333
20,20,26,FRIJOL,2006B,1.3,RAQUIRA,1.301125
15,15,16,FRIJOL,2006B,1.05,VIRACACHA,1.05
15,15,12,FRIJOL,2006B,0.8,PAYA,0.81125
15,15,15,FRIJOL,2006B,1,TIPACOQUE,1.02
10,9,11,FRIJOL,2006B,1.2,LA UVITA,1.215
5,5,4,FRIJOL,2006B,0.8,GUACAMAYAS,0.8
450,450,600,FRIJOL,2007A,1.33,CHIQUINQUIRA,1.398
400,360,234,FRIJOL,2007A,0.65,BOAVITA,0.78375
220,180,180,FRIJOL,2007A,1,TOCA,0.957333333
120,120,228,FRIJOL,2007A,1.9,CHISCAS,1.571666667
80,80,65,FRIJOL,2007A,0.81,EL COCUY,0.82
80,80,140,FRIJOL,2007A,1.75,SAMACA,1.690833333
75,75,75,FRIJOL,2007A,1,SAN LUIS DE GACENO,0.945833333
70,65,100,FRIJOL,2007A,1.54,COMBITA,1.54
60,60,42,FRIJOL,2007A,0.7,TIBASOSA,0.70625
35,35,11,FRIJOL,2007A,0.31,GUICAN,0.405833333
30,30,36,FRIJOL,2007A,1.2,SOTAQUIRA,1.1875
30,25,30,FRIJOL,2007A,1.2,TASCO,1.199444444
25,25,25,FRIJOL,2007A,1,PAUNA,0.991666667
20,20,19,FRIJOL,2007A,0.95,CHINAVITA,0.93
20,18,13,FRIJOL,2007A,0.7,TUNUNGUA,0.615
14,13,23,FRIJOL,2007A,1.8,CHIQUIZA,1.675
10,10,5,FRIJOL,2007A,0.5,BUSBANZA,0.5
10,10,8,FRIJOL,2007A,0.8,EL ESPINO,0.808
10,9,11,FRIJOL,2007A,1.2,LA UVITA,1.2
7,7,9,FRIJOL,2007A,1.4,NOBSA,1.44
225,224,411,FRIJOL,2007B,1.83,LA CAPILLA,1.7125
121,118,100,FRIJOL,2007B,0.85,SOCHA,1
120,120,185,FRIJOL,2007B,1.54,TIBANA,1.52
85,83,128,FRIJOL,2007B,1.54,NUEVO COLON,1.5
55,47,25,FRIJOL,2007B,0.53,SABOYA,0.511785714
